workload,engine,tables,table_size,threads,duration_sec,settle_sec,prepare_sec,tps,qps,reads,writes,others,lat_avg_ms,lat_p95_ms,lat_max_ms,errors_total
oltp_read_write,TidesDB,4,500000,8,120,60,6,623527,12470958,8729686,2494196,1247076,1.54,2.18,56.17,22
oltp_read_write,RocksDB,4,500000,8,120,60,81,501834,10036887,7025858,2007348,1003681,1.91,2.35,1077.21,13
oltp_read_only,TidesDB,4,500000,8,120,60,6,819296,13108736,11470144,0,1638592,1.17,1.70,35.96,0
oltp_read_only,RocksDB,4,500000,8,120,60,83,673838,10781408,9433732,0,1347676,1.42,1.79,17.94,0
oltp_write_only,TidesDB,4,500000,8,120,60,6,3430480,20583235,0,13722202,6861033,0.28,0.34,473.60,71
oltp_write_only,RocksDB,4,500000,8,120,60,93,630134,3780824,0,2520547,1260277,1.52,0.45,5953.96,9
oltp_update_non_index,TidesDB,4,500000,8,120,60,6,15299106,15299106,0,15299099,7,0.06,0.07,605.99,0
oltp_update_non_index,RocksDB,4,500000,8,120,60,96,2091688,2091688,0,2091688,0,0.48,0.12,7477.43,0
oltp_delete,TidesDB,4,500000,8,120,60,7,30211113,30211113,0,2000003,28211110,0.03,0.05,56.99,0
oltp_delete,RocksDB,4,500000,8,120,60,87,10003687,10003687,0,1986424,8017263,0.10,0.08,539.79,0
